#ID Interactor A	ID Interactor B	Alt IDs Interactor A	Alt IDs Interactor B	Aliases Interactor A	Aliases Interactor B	Interaction Detection Method	Publication 1st Author	Publication Identifiers	Taxid Interactor A	Taxid Interactor B	Interaction Types	Source Database	Interaction Identifiers	Confidence Values
entrez gene/locuslink:852495	entrez gene/locuslink:948461	biogrid:32893|entrez gene/locuslink:PGI1|entrez gene/locuslink:YBR196C	biogrid:852757|entrez gene/locuslink:sthA|entrez gene/locuslink:b3962	entrez gene/locuslink:CDC30(gene name synonym)|entrez gene/locuslink:L000001409(gene name synonym)|entrez gene/locuslink:L000001410(gene name synonym)|entrez gene/locuslink:glucose-6-phosphate isomerase(gene name synonym)	entrez gene/locuslink:ECK3954(gene name synonym)|entrez gene/locuslink:JW5551(gene name synonym)|entrez gene/locuslink:sth(gene name synonym)|entrez gene/locuslink:udhA(gene name synonym)	psi-mi:"MI:0254"(genetic interference)	"Heux S (2008)"	pubmed:18036177	taxid:559292	taxid:511145	psi-mi:"MI:0796"(suppressive genetic interaction defined by inequality)	psi-mi:"MI:0463"(biogrid)	biogrid:263839	-
entrez gene/locuslink:947077	entrez gene/locuslink:851559	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32049|entrez gene/locuslink:MED2|entrez gene/locuslink:YDL005C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003914(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344541	-
entrez gene/locuslink:947077	entrez gene/locuslink:854345	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:34568|entrez gene/locuslink:MED4|entrez gene/locuslink:YOR174W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003915(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344542	-
entrez gene/locuslink:947077	entrez gene/locuslink:856455	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36490|entrez gene/locuslink:MED6|entrez gene/locuslink:YHR058C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003569(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344543	-
entrez gene/locuslink:947077	entrez gene/locuslink:853985	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:34241|entrez gene/locuslink:MED7|entrez gene/locuslink:YOL135C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003916(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344544	-
entrez gene/locuslink:947077	entrez gene/locuslink:852492	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32890|entrez gene/locuslink:MED8|entrez gene/locuslink:YBR193C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003917(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344545	-
entrez gene/locuslink:947077	entrez gene/locuslink:852726	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:33102|entrez gene/locuslink:NUT1|entrez gene/locuslink:YGL151W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000002100(gene name synonym)|entrez gene/locuslink:L000003073(gene name synonym)|entrez gene/locuslink:MED5(gene name synonym)|entrez gene/locuslink:S000029517(gene name synonym)|entrez gene/locuslink:SSX4(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344546	-
entrez gene/locuslink:947077	entrez gene/locuslink:856297	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36341|entrez gene/locuslink:NUT2|entrez gene/locuslink:YPR168W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000003447(gene name synonym)|entrez gene/locuslink:L000004593(gene name synonym)|entrez gene/locuslink:MED10(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344547	-
entrez gene/locuslink:947077	entrez gene/locuslink:852860	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:33222|entrez gene/locuslink:PGD1|entrez gene/locuslink:YGL025C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:HRS1(gene name synonym)|entrez gene/locuslink:L000000811(gene name synonym)|entrez gene/locuslink:L000001408(gene name synonym)|entrez gene/locuslink:MED3(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344548	-
entrez gene/locuslink:947077	entrez gene/locuslink:850760	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:31345|entrez gene/locuslink:RGR1|entrez gene/locuslink:YLR071C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000001629(gene name synonym)|entrez gene/locuslink:MED14(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344549	-
entrez gene/locuslink:947077	entrez gene/locuslink:852184	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32610|entrez gene/locuslink:ROX3|entrez gene/locuslink:YBL093C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000001662(gene name synonym)|entrez gene/locuslink:L000002098(gene name synonym)|entrez gene/locuslink:MED19(gene name synonym)|entrez gene/locuslink:NUT3(gene name synonym)|entrez gene/locuslink:S000029515(gene name synonym)|entrez gene/locuslink:SSN7(gene name synonym)|entrez gene/locuslink:SSX2(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344550	-
entrez gene/locuslink:947077	entrez gene/locuslink:851415	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:31921|entrez gene/locuslink:RPO21|entrez gene/locuslink:YDL140C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:B220(gene name synonym)|entrez gene/locuslink:DNA-directed RNA polymerase II core subunit RPO21(gene name synonym)|entrez gene/locuslink:L000001744(gene name synonym)|entrez gene/locuslink:RPB1(gene name synonym)|entrez gene/locuslink:RPB220(gene name synonym)|entrez gene/locuslink:SUA8(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344551	-
entrez gene/locuslink:947077	entrez gene/locuslink:855485	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:35603|entrez gene/locuslink:SIN4|entrez gene/locuslink:YNL236W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:BEL2(gene name synonym)|entrez gene/locuslink:GAL22(gene name synonym)|entrez gene/locuslink:L000001888(gene name synonym)|entrez gene/locuslink:L000002099(gene name synonym)|entrez gene/locuslink:MED16(gene name synonym)|entrez gene/locuslink:RYE1(gene name synonym)|entrez gene/locuslink:S000029516(gene name synonym)|entrez gene/locuslink:SDI3(gene name synonym)|entrez gene/locuslink:SSF5(gene name synonym)|entrez gene/locuslink:SSN4(gene name synonym)|entrez gene/locuslink:SSX3(gene name synonym)|entrez gene/locuslink:TSF3(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344552	-
entrez gene/locuslink:947077	entrez gene/locuslink:852750	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:33124|entrez gene/locuslink:SOH1|entrez gene/locuslink:YGL127C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000001982(gene name synonym)|entrez gene/locuslink:MED31(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344553	-
entrez gene/locuslink:947077	entrez gene/locuslink:856437	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36473|entrez gene/locuslink:SRB2|entrez gene/locuslink:YHR041C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:HRS2(gene name synonym)|entrez gene/locuslink:L000002050(gene name synonym)|entrez gene/locuslink:L000003586(gene name synonym)|entrez gene/locuslink:MED20(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344554	-
entrez gene/locuslink:947077	entrez gene/locuslink:856743	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36756|entrez gene/locuslink:SRB4|entrez gene/locuslink:YER022W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000002051(gene name synonym)|entrez gene/locuslink:MED17(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344555	-
entrez gene/locuslink:947077	entrez gene/locuslink:852996	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:33347|entrez gene/locuslink:SRB5|entrez gene/locuslink:YGR104C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000002052(gene name synonym)|entrez gene/locuslink:MED18(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344556	-
entrez gene/locuslink:947077	entrez gene/locuslink:852555	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32948|entrez gene/locuslink:SRB6|entrez gene/locuslink:YBR253W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000002053(gene name synonym)|entrez gene/locuslink:MED22(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344557	-
entrez gene/locuslink:947077	entrez gene/locuslink:851903	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32361|entrez gene/locuslink:SRB7|entrez gene/locuslink:YDR308C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000002097(gene name synonym)|entrez gene/locuslink:L000002754(gene name synonym)|entrez gene/locuslink:MED21(gene name synonym)|entrez gene/locuslink:S000029514(gene name synonym)|entrez gene/locuslink:SSX1(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344558	-
entrez gene/locuslink:947077	entrez gene/locuslink:850442	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:31054|entrez gene/locuslink:SRB8|entrez gene/locuslink:YCR081W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:GIG1(gene name synonym)|entrez gene/locuslink:L000003007(gene name synonym)|entrez gene/locuslink:MED12(gene name synonym)|entrez gene/locuslink:NUT6(gene name synonym)|entrez gene/locuslink:SSN5(gene name synonym)|entrez gene/locuslink:YCR080W(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344559	-
entrez gene/locuslink:947077	entrez gene/locuslink:852053	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32498|entrez gene/locuslink:SSN2|entrez gene/locuslink:YDR443C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:L000001803(gene name synonym)|entrez gene/locuslink:L000002088(gene name synonym)|entrez gene/locuslink:L000002101(gene name synonym)|entrez gene/locuslink:MED13(gene name synonym)|entrez gene/locuslink:NUT8(gene name synonym)|entrez gene/locuslink:RYE3(gene name synonym)|entrez gene/locuslink:S000029518(gene name synonym)|entrez gene/locuslink:SCA1(gene name synonym)|entrez gene/locuslink:SRB9(gene name synonym)|entrez gene/locuslink:SSX5(gene name synonym)|entrez gene/locuslink:UME2(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344560	-
entrez gene/locuslink:947077	entrez gene/locuslink:855706	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:35801|entrez gene/locuslink:SSN8|entrez gene/locuslink:YNL025C	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:CNC1(gene name synonym)|entrez gene/locuslink:CycC(gene name synonym)|entrez gene/locuslink:GIG3(gene name synonym)|entrez gene/locuslink:L000002796(gene name synonym)|entrez gene/locuslink:NUT9(gene name synonym)|entrez gene/locuslink:RYE2(gene name synonym)|entrez gene/locuslink:SRB11(gene name synonym)|entrez gene/locuslink:UME3(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344561	-
entrez gene/locuslink:947077	entrez gene/locuslink:855974	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:36052|entrez gene/locuslink:TAF14|entrez gene/locuslink:YPL129W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:ANC1(gene name synonym)|entrez gene/locuslink:L000000086(gene name synonym)|entrez gene/locuslink:SWP29(gene name synonym)|entrez gene/locuslink:TAF30(gene name synonym)|entrez gene/locuslink:TATA-binding protein-associated factor TAF14(gene name synonym)|entrez gene/locuslink:TFG3(gene name synonym)|entrez gene/locuslink:TafII30(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344562	-
entrez gene/locuslink:947077	entrez gene/locuslink:851752	biogrid:851414|entrez gene/locuslink:clpB|entrez gene/locuslink:b2592	biogrid:32225|entrez gene/locuslink:SUP35|entrez gene/locuslink:YDR172W	entrez gene/locuslink:ECK2590(gene name synonym)|entrez gene/locuslink:JW2573(gene name synonym)|entrez gene/locuslink:htpM(gene name synonym)	entrez gene/locuslink:GST1(gene name synonym)|entrez gene/locuslink:L000002200(gene name synonym)|entrez gene/locuslink:PNM2(gene name synonym)|entrez gene/locuslink:SAL3(gene name synonym)|entrez gene/locuslink:SUF12(gene name synonym)|entrez gene/locuslink:SUP2(gene name synonym)|entrez gene/locuslink:SUP36(gene name synonym)|entrez gene/locuslink:"[PSI(+)]"(gene name synonym)|entrez gene/locuslink:[PSI](gene name synonym)|entrez gene/locuslink:eRF3(gene name synonym)|entrez gene/locuslink:translation termination factor GTPase eRF3(gene name synonym)	psi-mi:"MI:0004"(affinity chromatography technology)	"Tipton KA (2008)"	pubmed:19026788	taxid:511145	taxid:559292	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0463"(biogrid)	biogrid:344563	-
